param m := 9;
param n := 9;
param P := 2;
param Vhat := 83.17;

param d := 
    1 1 2
    1 2 1.1
    1 3 1.3
    1 4 0.9
    1 5 1.2
    1 6 0.9
    1 7 1
    1 8 0.8
    1 9 0.6
    2 1 0.07
    2 2 2
    2 3 0.46
    2 4 0.53
    2 5 0.19
    2 6 0.17
    2 7 0.48
    2 8 0.26
    2 9 2.5
    3 1 0.4
    3 2 2.7
    3 3 2
    3 4 0.34
    3 5 0.0
    3 6 0.38
    3 7 1.16
    3 8 0.48
    3 9 0.65
    4 1 0.94
    4 2 0.5
    4 3 1.94
    4 4 2
    4 5 0.4
    4 6 0.2
    4 7 1.87
    4 8 2.33
    4 9 1.27
    5 1 0.3
    5 2 2.0
    5 3 1.94
    5 4 1.57
    5 5 2
    5 6 0.0
    5 7 1.98
    5 8 1.66
    5 9 0.4
    6 1 0.47
    6 2 0.8
    6 3 0.2
    6 4 1.7
    6 5 1.4
    6 6 2
    6 7 0.89
    6 8 1.5
    6 9 0.2
    7 1 0.1
    7 2 1.3
    7 3 1.2
    7 4 0.0
    7 5 0.83
    7 6 1.3
    7 7 2
    7 8 0.3
    7 9 1.6
    8 1 0.8
    8 2 1.87
    8 3 1.85
    8 4 1
    8 5 1.9
    8 6 0.3
    8 7 1.7
    8 8 2
    8 9 1.8
    9 1 0.03
    9 2 2.1
    9 3 0.5
    9 4 0.48
    9 5 0.99
    9 6 0.23
    9 7 1.3
    9 8 0.76
    9 9 2
;
param h :=
    1 8
    2 2
    3 1
    4 1
    5 6
    6 6
    7 7
    8 9
    9 8
;
